Etiquetas de fila	2010	2011	2012	2013	2014	2015	Total general
GAM Santa Cruz 	1345408.4	4575463.45	4868557.2	11060770	25258391.29	26551710.7	67739429.19
YPFB	8564055.27	10488189.8	17463400.47	20402159.4	2982227.19	2705800	62605832.13
Ministerio de Educación 	9853908.3	2802008.48	4925790.69	5919176.42	8827272.33	1536728.6	33864884.82
Agencia Nacional de Hidrocarburos 	1300000	286850	3666885.96	16047352.28	7376661.9	292300	28970050.14
ASFI	893842.49	504049.05	1440810.8	6070486.77	5427908.47	5938034.2	20275131.78
Dirección Nacional de Comunicación Social 	13554580	6560709.2					20115289.2
GAM La Paz	4203775.86	3635377.59	4811590.12	6333931.4	8325411.2	485695.4	19956628.12
Ministerio de Comunicación 		4969382.12	4982102.02	76900	8152879	330500	18511763.14
Organo Electoral Plurinacional 			1449417.96	4389689.98	7771305	286000	13896412.94
GAM El Alto 			2734488	4623897.6	3721630	2724457.6	13804473.2
Gobernación Santa Cruz 			3340363.5	3008870	4896431.38	298118	11543782.88
Servicio de Impuestos Nacionales 	452191.98	1603877.32	1866256	4549349.67	1343750	133958	9949382.97
GAM Cochabamba 		50000	1924890	1376915.76	1725000	3622000	8648805.76
Ministerio de Economía	233329.8	1586706.28	1282266.25	1782163.03	2245975.54	1076661.87	8207102.77
Banco Central de Bolivia 	1802851.69	912866.71	783196.45	1166213.71	3074698.4	348075	8087901.96
Empresa Municipal de Aseo Santa Cruz 		1669809	2828817.78	1778181.4	1105685		7382493.18
Ministerio de Salud y Deportes	1169652.86	2214703	463573.88	3460664.29	4685361.98	740442.38	7308594.03
EMAPA	2692121.13	1862375.6	967575.4				5522072.13
APS		708762.69	3681020.4	166128	423710.5		4979621.59
ATT	4730548						4730548
UCPP 	419839.99	640365.7	621093.16	1665466.74	1224273.31		4571038.9
Gobernación Cochabamba 			275597.55	1980815.01	1747555.33	390348	4394315.89
Ministerio de Obras Publicas, Servicios y Viviendas			3180919.68	528700	252027.44	58080	4019727.12
Ministerio de Culturas 	40000	145216.44	1168706.08	975658.6	1035360		3364941.12
Vicepresidencia del Estado 		520528.6	434879.64	1097000.4	1005165	98590	3156163.64
Gobernación La Paz		785388.84	282391.2	1409482.86	584093.4		3061356.3
ABC			743328	1658615.5	253638.4	82757	2738338.9
Pro Bolivia 				1619746.95			1619746.95
Contraloria General del Estado 		163800	562824	685160	202520		1614304
