Etiquetas de fila,2010,2011,2012,2013,2014,2015,TOTAL 
Compra de productos derivados de petroleo a refinerias (YPFB),,,,6858089000,,,6858089000
Contrataci n de empresa internacional de petroqumica para la Planta de Urea y Amoniaco (YPFB),,,5873627512,,,,5873627512
"Dise_o, construcci n y control de la carretera Rurrenabaque-Riberalta (ABC)",,,,,3974757345,,3974757345
"Contrataci n de ingienera, construcci n de la Planta Separadora de Lquidos de Gran Chaco  (YPFB)",,3425725500,,,,,3425725500
"Suministro de diesel, insumos y aditivos gesti n 2014 (YPFB)",,,,2986986898,,,2986986898
"Construcci n del Telef_rico La Paz El Alto, segunda fase (Mi Telef_rico)",,,,,,2888400000,2888400000
Construcci n del proyecto hidroel_ctrico Miguillas (ENDE),,,,,2769979080,,2769979080
Servicio de transporte nacional e internacional de hidrocarburos liquidos por cisternas (YPFB),,,,2276152911,,,2276152911
"Suministro de diesel oil, insumos y aditivos sur (YPFB)",,,,,2226064627,,2226064627
"Construccion doble via La Paz - Oruro (ABC)
",1723037679,,,,,,1723037679
